Name,Rating,Rating Count,Address,Verified
"Sanitization Cleaning Services in Mankhurd, Mumbai",4.5,13,"Saptshrungi Book Depot & Stationery, Vikas Google, Maharashtra Val Vikas Highschool,, Mankhurd, Mumbai - 400043, Pmgp Colony",Not Verified
"Pesto Relief Services Pvt Ltd in Kalyan East, Mumbai",4.3,35,"Shop No. 1, Ground Floor, Chitra CHS Ltd, Shakti Dham Comple, Kalyan East, Thane - 421306, Near Durga Mata Mandir",Not Verified
"Complete Solutions Facility Management Pvt Ltd in Santacruz East, Mumbai",4.1,64,"A-102 1st Floor Vinay Bhavya Complex, 159,C S T Road, Santacruz East, Mumbai - 400098",Verified
"Saee Disinfecting and Sanitation in Virar West, Mumbai",4.4,5,"003, Ground Floor, Komal Building, Chawre Sunkul, Boleshwari Road, Virar West, Palghar - 401303, Near Santoshi Mata Mandir",Not Verified
"Novirus Resident in Kharghar, Mumbai",4.7,8,"Matru Chaya Society, C:14, Room No 9, Sector 15, Kharghar, Navi Mumbai - 410210, Near Dmart",Not Verified
"Padmavat Protective Services in Kalamboli, Mumbai",3.5,2,"Office No C 3083 Bima Complex, Steel Market, Kalamboli, Navi Mumbai - 410218, Opposite Fire Brigade",Not Verified
"Usk Sanitization in Vasai West, Mumbai",4.9,20,"C/202 Dream Residency Chs Ltd, Sagar Shet,Near Taam Talav Garden, Vasai West, Palghar - 401202",Not Verified
"Clean Bharat Facility Management Services LLP in Kamothe Sector 6, Mumbai",4.9,33,"Swapnraj Building Shop No-2, Plot No 65, Kamothe Sector 6, Navi Mumbai - 410209, Sector 6 A",Verified
"Creative Enterprises in Kamothe, Mumbai",3.5,2,"Balaji Krupa Apartment, Shop No 2, Sector 11, Kamothe, Navi Mumbai - 410209",Not Verified
"Pest Control Servicess in Prabhadevi, Mumbai",4.8,14,"Room Number 5, New Prabhadevi Road, Prabhadevi, Mumbai - 400025, Opposite Temple, Patil Wadi",Verified
"Bugs N Dust in Kamothe, Mumbai",4.9,8,"02 Skyline Apartment, Sector 19, Kamothe, Navi Mumbai - 410209",Not Verified
"Bugs N Dust in Kamothe, Mumbai",4.9,8,"Shop No 1, Sector 19, Kamothe, Navi Mumbai - 410209, Behind Punjab National Bank",Not Verified
"Adinath Sanitaries Service in New Panvel, Mumbai",4.6,5,"Shop No.1 Kalpataru Arcade Plot No 230 Road No 1Kalpataru, Sector 4, New Panvel, Navi Mumbai - 410206",Verified
"Tulip Housekeeping Services in Worli, Mumbai",3.8,50,"Room No 124, Approach Road, Worli, Mumbai - 400018, Near Mahalaxmi Race Course",Verified
"Antibugs Pest Control Services in Kala Chowki, Mumbai",3.5,2,"Atul Co Operative Housing Society Ground Floor Shop No 7, Kala Chowki, Mumbai - 400033, Opposite Rustomjee Office",Not Verified
"Eliminator Pest Control in Ulwe, Mumbai",3.6,5,"103, Krishna Villa, Plot Number 153, Sector 2, Ulwe, Navi Mumbai - 410206, Opposite Meera Angan",Verified
"G. R. Tank Cleaning in Badlapur, Mumbai",5.0,3,"Shop NO 13 Morya Residancy, Shirgaon, Badlapur, Thane - 421503, Near Ram Nagar",Verified
"Home Care Pest Control in Mumbai Central, Mumbai",3.5,3,"Shop No 4, Building No 4, Vit Building, K K Marg, Mumbai Central, Mumbai - 400008, Near Post Office",Not Verified
"Psi Pest Solution Of INDIA in Opera House, Mumbai",4.9,5,"112, 1st Floor, Flox Chamber, Tata Road Number 1, Opera House, Mumbai - 400004, Opera House Roxy Cinema",Verified
"Godrej Hicare Pest Control in Dadar East, Mumbai",4.5,12,"Shop No 6 Minarwa Mention, Dr Ambedkar Road, Dadar East, Mumbai - 400014, Nr Kohinoor Appliance",Verified
"Prathamesh Services in Ghorpuri, Pune",4.4,36,"Om Society Dalvi Nagar, B T Kawade Road, Ghorpuri, Pune - 411001, Near Adarsh High School",Verified
"Pest Quit in Narayanapura, Bangalore",4.2,34,"No-147/148,2rd Floor,3rd Cross,, Narayanapura Cross, D Krishnappa Layout, Narayanapura, Bangalore - 562135, Sampige",Verified
