Name,Rating,Rating Count,Address,Verified
"Second Look Family Salon in Mira Road, Mumbai",4.2,132,"Shop No.15 Kanakiya Road, Shanti Nagar, Mira Road, Thane - 401107",Not Verified
"Mr Shakiq in Mira Road, Mumbai",4.7,131,"Shop No: 33 to 36 Cluster 2, 1st Floor, Surya Shopping Centre, Mira Road, Thane - 401107, Near Balaji Hotel",Not Verified
"Ki & Ka Spa & Salon in Mira Road, Mumbai",3.7,127,"Shop No. 2,3,4, Sai Plaza, MTNL Road, Shanti Park, Mira Road, Thane - 401107, Near Don Bosco School",Not Verified
"Amro The Luxe Salon in Mira Road, Mumbai",4.4,124,"Shop No 11 Ramdev Enclave, Deepak Hospital Lane, Mira Road, Thane - 401107, Next to Sai Suman Hotel Mira Road East",Not Verified
"New Synks Salon in Mira Road, Mumbai",4.4,124,"Shop No 12 Porwal Tower, Near Cinemax, Mira Road, Thane - 401107, Kanakiya Road",Not Verified
"Big Boss Salon in Mira Road, Mumbai",3.9,109,"Shop No 10, Shree Sai Sneha Complex, Mira Road, Thane - 401107, Near Unko Bank, Ramdev Park",Not Verified
"Senorita Hair & Beauty Salon in Mira Road, Mumbai",4.2,104,"Shop No 3-4,Shiv Pooja Building, Shanti Park, Mira Road, Thane - 401107, Opp RNA Brodway,Near RNA Liberty & Natural Ice Cream",Not Verified
"Zulfmaker Family Salon in Mira Road, Mumbai",3.7,93,"A-9, Shop 3/4, Shanti Vihar, Poonam Sagar Road, Mira Road, Thane - 401107, Near Reliance Fresh, Opp  SAI Krupa Hospital",Not Verified
"Atelier The Unisex Salon N Academy in Mira Road, Mumbai",4.3,88,"Shop No. 4, 5 & 6, Ritu Paradise, Next to Ostwal School, Mira Road, Thane - 401107, Nr. GCC Club",Not Verified
"Hair Zone Mens Salon in Mira Road, Mumbai",4.2,86,"Shop No 3, Salasar Lotus Apartment, Mira Road, Thane - 401107, Near GCC Club, Salasar Garden",Not Verified
"Manaal Unisex Salon in Mira Road, Mumbai",4.2,80,"Shop No 1 And 2, Sai Anand Plaza, Mira Bhayander Road, Mira Road, Thane - 401107, Opposite Golden Nest Gate",Not Verified
"La Divine Salon in Mira Road, Mumbai",3.6,80,"Shop No 33, 34, Ground Floor, Poonam Cluster III, Mira Road, Thane - 401107, Opposite Surya Shopping Complex, Shrishti",Not Verified
"De Paradise Spa in Mira Road, Mumbai",3.6,76,"Penkarpada, Mira Road, Thane - 401107, Behind Hotel Ajit Residency Below Hotel Lotus Residency, Near Dahisar Checknaka",Not Verified
"Maple Salon in Mira Road, Mumbai",4.6,72,"Building No 13, Hubtown Gardenia Phase 2,, Opposite Silver Park, Mira Road, Thane - 401107, Behind GCC Club",Not Verified
"Prince Family Salon in Mira Road, Mumbai",4.3,71,"Shop No. 4, New Parijat Co Operative Housing Society, Vijay Park Road, Mira Road, Thane - 401107, Near Vijay Park,Silver Park",Not Verified
"Hair5s Unisex Salon in Mira Road, Mumbai",4.8,69,"Shop No 62/64/83 Rashmi Park Building, Mtnl Road, Mira Road, Thane - 401107, New Lazeez Restaurant",Not Verified
"Beauty Zone Salon And Academy in Mira Road, Mumbai",4.9,66,"Shop No-11, Poonam Estate, Cluster-III, 1st Floor, Building No-7,8,9, Mira Road, Thane - 401107, Opp Surya Shopping Centre",Not Verified
"the Salon His & Her in Mira Road, Mumbai",3.8,64,"Shop No-4/5/6, Building No.4, Sector No.5, Shanti Garden, Mira Road, Thane - 401107, Near BMC Regisration Office",Not Verified
"Elements Unisex Salon in Mira Road, Mumbai",4.8,63,"Shop No 19,  Poonam Cluster 02,, Shrushti, Mira Road, Thane - 401107, Opposit Poonam Cluster 03, Near Surya Shoping Center",Not Verified
"Zayn The Beauty Salon in Mira Road, Mumbai",4.8,60,"G Wing, Shop No 13 Gaurav Residency Phase, 1, Kanakia Road, Kanakia Roadmira Road, Mira Road, Thane - 401107, Near Marigold",Not Verified
"Looks Beauty Salon & Spa in Mira Road, Mumbai",4.1,60,"Shop No-13, Shubham Tower, Shanti Park, Mira Road, Thane - 401107",Not Verified
"Looks Beauty Salon & Spa in Mira Road, Mumbai",4.1,60,"Shop No 13 Dev Adarsh Poonam Shruti, East, Mira Road, Mira Road, Thane - 401107, Opposite Latif Park Sk Stone",Not Verified
"Mirrors Salon and Spa Academy in Mira Road, Mumbai",4.8,55,"Shop No-2, Mahadev Shri, Ideal Park, Mira Road, Thane - 401107, Near Seven Square Academy",Not Verified
"Colors Spa & Family Saloon in Mira Road, Mumbai",4.0,51,"Row House No 9 Salasar Garden Cosmos Society, Hatkesh, Mira Road, Thane - 401107, Near GCC club",Not Verified
"Nandini Spa & Salon in Mira Road, Mumbai",4.7,50,"Shop 4 Rashmi Utsav Vijay Park Near, Jangid Estate, Mira Road, Thane - 401107, Opposite Toddlemdom St Paul School",Not Verified
"Vegas The Salon & Spa in Mira Road, Mumbai",4.6,50,"Shop No 2, La Gardenia, Mira Road, Thane - 401107, Unique Garden, Opposite Seven Eleven Scholastic School",Not Verified
"O Umiya Salon & Spa in Mira Road, Mumbai",3.7,50,"Shop No.10 , Mira Kutir CHS, Shanti Park , 100 Feet Road, Mira Road, Thane - 401107, Nearby Natural Ice Cream",Not Verified
"Afzal Unisex Salon in Mira Road, Mumbai",4.3,48,"Shop No.D/7, Dolphin Garden, Mira Road, Thane - 401107, Near Poonam Sagar Complex",Not Verified
"Limelight Salon in Mira Road, Mumbai",4.1,46,"Shop No.4 , La- Vista Apartment, Mira Road, Thane - 401107",Not Verified
"Kiah Unisex Salon in Mira Road, Mumbai",4.3,45,"Shop No 08  Sheetal Swar C H S LTD, Next to Sanman Hotel, Mira Road, Thane - 401107, MTNL Road",Not Verified
"Hitansh Hair & Beauty Salon in Mira Road, Mumbai",4.8,44,"Shop Number 7, First Floor, Garden City Biulding, Mumbai, Mira Road, Thane - 401107, Near Seven Eleven Hospital",Not Verified
"Kaifee Stylist Unisex Salon in Sheetal Nagar-Mira Road, Mumbai",4.2,41,"Sheetal Shurbhi Building Shop No 3, MTNL Road, Sheetal Nagar-Mira Road, Thane - 401107, Near MTNL Office",Not Verified
"Tip Top Unisex Salon in Mira Road, Mumbai",3.9,41,"8, Avtar Building, A3, Shanti Nagar, Mira Road, Thane - 401107, Sector No 6, Shanti Nagar",Not Verified
"Shanoah Beauty Cosmetology Clinic in Mira Road, Mumbai",4.6,38,"Shop No-B/21 001, Shanti Nagar Road, Mira Road, Thane - 401107, Opp-Poonam Sagar Complex",Not Verified
"Grace And Glow Beauty Salon And Classes in Mira Road, Mumbai",4.5,38,"Ritu Paradise, Phase 1, Near GCC Club,, Mira Road, Thane - 401107, Opposite Vedhant School",Not Verified
"Tip Top Saloon in Mira Road, Mumbai",4.3,38,"1 Matru Chhaya Biulding Mira,, Poonam Sagar Road , Shanti Nagar, East, Mira Road, Thane - 401107",Not Verified
"Bellezza Beauty Salon Spa & Academy in Mira Road, Mumbai",4.6,37,"Shop No 2, Winstone, Nr. Pinnacolo, R.B.K.School Road, Mira Road, Thane - 401107, Nr Pinnacolo",Not Verified
"Vinod Family Salon And Academy in Mira Road, Mumbai",3.7,36,"Shanti Plaza , Shop No. 15, Station Road, Mira Road, Thane - 401107, Shanti Nagar, Below Zee Learn",Not Verified
"The Tasmiya in Gokul Village-Mira Road, Mumbai",4.8,33,"Shop No.6, Parshwanath Tower,, Gokul Village-Mira Road, Thane - 401107, Near Shivali Garden",Not Verified
"Dream Land Hair Cut in Mira Road, Mumbai",3.9,30,"Shop No.5,Diplomacy Biulding.,Kanungo Estate, East, Mira Road, Thane - 401107",Not Verified
"Vedicosma Academy Pvt. Ltd (Skin L Hair L Makeup L Spa L Nail) in Mira Road, Mumbai",4.5,29,"Flat No 103, C35, Heli Building, Station Road, Sector 11, Shanti Nagar, Mira Road, Thane - 401107, Near Mira Road Railway Station",Not Verified
"All About U Unisex Salon in Mira Road, Mumbai",4.1,29,"Shop No-1,RNA Broadway B-24, Jahangid Circle, Mira Road, Thane - 401107, Opp  New Union Bank",Not Verified
"Elaine Beauty Salon in Mira Road, Mumbai",3.8,29,"Shop No 4, New Saphalya Building, Sheetal Nagar, Sheetal Nagar, Mira Road, Thane - 401107, Next to HP Gas Agency",Not Verified
"Chun Cham Fashion Salon in Mira Road, Mumbai",4.2,28,"Shop No 2 & 3, Sheetal Raji Building, MTNL Road, Mira Road, Thane - 401107, Sheetal Nagar",Not Verified
"The Urban Essentials Unisex Salon in Mira Road, Mumbai",4.0,28,"Shop No.20,21, Hubtown Gardnia, Phase 2, Mira Road, Thane - 401107, Behind Gcc Club",Not Verified
"Searock Hair Salon in Naya Nagar-Mira Road, Mumbai",4.0,28,"Shop No 18, Hydari Complex, Naya Nagar, Naya Nagar-Mira Road, Thane - 401107, Hydari Chawk",Not Verified
"Kombinations Hair And Beauty Salon (unisex) in Beverly Park-Mira Road, Mumbai",4.6,27,"Shop No 28,Milstone Building, Beverly Park-Mira Road, Thane - 401107, Nr RBK School Lane",Not Verified
"Prashant Hair Dressers in Mira Road, Mumbai",4.2,27,"Shop No 2, Building No C-7, Sector 8, Mira Road, Thane - 401107, Shanti Nagar, Opposite Rna Courtyard,",Not Verified
"Al - Habib Professional Salon & Beauty Products in Poonam Sagar Complex-Mira Road, Mumbai",3.7,27,"Shop No 8 Jupiter, Mercury Building, Poonam Sagar Complex-Mira Road, Thane - 401107, Near DNA Hotel",Not Verified
"Chun Cham Fashion Salon in Mira Road, Mumbai",4.3,26,"Shop No 16/19, Cinemax Shopping Center, Kanakia Road, Mira Road, Thane - 401107, Next to Box Office",Not Verified
"Touch & Glow Salon & Spa in Mira Road, Mumbai",4.7,25,"Shop No 1, Nine Galaxy Building, Ramdev Park, Mira Road, Thane - 401107, Opposite Akash Nidhi Building",Not Verified
"Hairspring Salon N Spa in Mira Road, Mumbai",3.9,23,"Shop No 29 to 32 Vishal Cooperative Society Blding B-5 Silver Park, Mira Road, Thane - 401107, Fire",Not Verified
"Wings Unisex Salon in Mira Road, Mumbai",4.2,22,"Shop No 7/8/9 Fantasy Tower, Shanti Park, Mira Road, Thane - 401107, Opposite Happy Home Complex",Not Verified
"Olive Beauty Salon & Spa in Mira Road, Mumbai",4.7,21,"Shop No 2, Rashmi Tanmay Building No 10, Kankiya Road, Mira Road, Thane - 401107, Beverly Park, Near Cinemax",Not Verified
"Hair & More Unisex Family Salon in Mira Road, Mumbai",4.7,21,"Shop Number 7, Raj Lifestyle, Hatkesh Udhog Nagar, East, Mira, Gcc Club Road, Gcc Club Road Mira Road, Mira Road, Thane - 401107",Not Verified
"Kaifee Stylist Unisex Salon in Mira Road, Mumbai",4.2,21,"Shop No 8, Sheetal Surabhi,, MTNL Road, Sheetal Nagar,, Mira Road, Thane - 401107, Near Telephone Exchange,",Not Verified
"High Street Salon in Mira Road, Mumbai",3.4,21,"Shop No 6 Unique Aurum, Poonam Garden, Mira Road, Thane - 401107",Not Verified
"Hairitage Salon in Mira Road, Mumbai",5.0,20,"Shop No- B4, Sheetal Raj Co Op Society,, Tanashree Malusare, MTNL Road, Mira Road, Thane - 401107, Near DCB Bank, Sheetal Nagar",Not Verified
"Saloon 4-u in Mira Road, Mumbai",3.9,20,"Shop no-11, shubh laxmi c.h.s, Laxmi park, kanakia road, Mira Road, Thane - 401107, Opp. Jangid enclave",Not Verified
"All About You (Aayu) Unisex Salon in Mira Road, Mumbai",4.8,19,"Shop No 11, Radha Krishna Marriages Hall Building, Pandurang Wadi, Mira Road, Thane - 401107, Near Lodha Aqua Complex National Highway, Next to Bookers Wholesalers",Not Verified
"Global Gents Salon in Mira Road, Mumbai",4.5,19,"Shop No 4, Building No 7, MTNL Road, Mira Road, Thane - 401107, Siddharth Nagar, Opposite Snehaanjali Electronics Showroom",Not Verified
"Freedom Salon & Spa in Mira Road, Mumbai",3.9,19,"Shop No 07 Rajeshri Building, Behind Bus Stop, Mira Road, Thane - 401107, Opp Mcdonalds , Next to Mani Palace",Not Verified
"Medrid Saloon in Mira Road, Mumbai",3.5,19,"Shop No-10, Kailash Dham, Pleasant Park, Mira Road, Thane - 401107, Nr. Mira Bhayander Road",Not Verified
"Heenz Salon in Mira Road, Mumbai",4.1,18,"Shop No. D, 19, Poonam Estate, Nityanand Nagar, Cluster 1, Mira Road, Thane - 401107, Opp Balaji Hotel",Not Verified
"Looks And Locks in Mira Road, Mumbai",3.7,18,"Shop No 5, First Floor, Siddharth Nagar Building No 8, Mira Road, Thane - 401107, Opp Snehanjali Showroom,Next To Life Line Hospital, Sheetal Nagar",Not Verified
"Glamour Gents Salon in Mira Road, Mumbai",4.7,17,"Shop No 23, D 17, Shanti Vihar Building, Mira Road, Thane - 401107, Opposite Shanti Nagar, Near  Fish Market",Not Verified
"Suraj Hair Art Family Salon in Mira Road, Mumbai",4.5,15,"Shanti Shopping Centre, D Wing , Shop No. 91, Station Road, Mira Road, Thane - 401107, Near Airtel Galary",Not Verified
"YKs Unisex Salon and Spa in Mira Road, Mumbai",4.0,15,"Shop No 17, Rna Liberty, Silver Park Road, Mira Road, Thane - 401107, Near Jangid Complex & Dcb Bank",Not Verified
"Tip Top Unisex Salon in Mira Road, Mumbai",4.5,14,"Shop No 2, A Wing, Matru Chhaya Building, A 22, Shanti Nagar, Sector 10, Mira Road, Thane - 401107, Near Allahabad Bank, Poonam Sagar",Not Verified
"Kris With Care in Mira Road, Mumbai",4.3,14,"Shop No 25,26 ,Cluster-1, Poonam Estate, Mira Road, Thane - 401107, Near Surya Shopping Center",Not Verified
"The Phoenix Salon in Mira Road, Mumbai",3.9,14,"Shop No-10,Ashmita Uphar -3, Mira Road, Thane - 401107, Near Poonam Sagar Complex",Not Verified
"Tressxcel London Salon & Spa in Mira Road, Mumbai",3.7,14,"Shop No 21 Rassaz Mall, Mira Road, Thane - 401107, Next to Axis Bank",Not Verified
"Classic Salon in Mira Road, Mumbai",3.6,14,"001 Akash Ganga Gground Flor, Mira Bhayndar Road, Mira Road, Thane - 401107, Gandhi Cercal",Not Verified
"Plush Beauty Spa in Mira Road, Mumbai",4.9,13,"Shop No 06 Harsh Accorde,, Shanti Park, Mira Road, Thane - 401107, Nr Barkha Hotel",Not Verified
"Make Me Beauty Salon & Spa in Mira Road, Mumbai",4.5,13,"Shop No 13, Jigneshwar Tower, Sai Baba Nagar, Mira Bhayandar Road, Mira Road, Thane - 401107, Opposite Sundar Nagar Petrol Pump",Not Verified
"Metro Salon in Mira Road, Mumbai",4.0,13,"Shop No 64 Building No 11, Chandresh Accord, Mira Bhayandar Road, Mira Road, Thane - 401107, Near SAI Baba Mandir",Not Verified
"SHREE Ganesh HAIR Dressers in Mira Road, Mumbai",3.7,13,"Shop No-4, New Sai Vasundhara, Vijay Park, Mira Road, Thane - 401107",Not Verified
"Sukhi Beauty Salon And Spa in Mira Road, Mumbai",4.8,12,"Shop No-8, Green Park, Building No-8, Mira Road, Thane - 401107, Near Gokul Village",Not Verified
"Showoff Family Salon & Academy  in Mira Road, Mumbai",4.8,12,"Shop No:28, Winstone Building, R B K School Lane, Beverly Park, Mira Road, Thane - 401107, Near Pina Colo Complex",Not Verified
"The Hairform Studio in Mira Road, Mumbai",4.6,12,"Shop 14, RAJ EXOTICA, HATKESH, G C C CLUB,, Mira Road, Thane - 401107, Near GAURAV VALLEY,",Not Verified
"Boudoir Ladies Salon & Spa in Mira Road, Mumbai",3.8,12,"Shop No 10 Irasia Building, Kanakiya, Mira Road, Thane - 401107, Near Kanakiya Police Station",Not Verified
"Mango Spa & Salon in Mira Road, Mumbai",3.7,12,"Shop No 5, Iraisa Tower, Kanakia Road, Mira Road, Thane - 401107, Near Dominos Pizza",Not Verified
"Attitude Beauty SPA SALON & Academy in Mira Road, Mumbai",5.0,11,"B/704,Nirmal Tower,Hyness Park, Nityanand Nagar, Mira Road, Thane - 401107, Near St.Paul High School",Not Verified
"D Bhatias Non Surgical Hair Replacement  & Unisex Salon in Mira Road, Mumbai",4.8,11,"Shop No 15 Geeta Arcade Building No 1 Sheetal Nagar, Mira Road, Thane - 401107, Opposite Chruch and Gurukripa Hospital",Not Verified
"Salon 7 in Mira Road, Mumbai",4.1,11,"Shop No 26, Building No 7 8 and 9, Poonam State Cluster 2, Mira Road, Thane - 401107, Near Surya Shopping Center",Not Verified
"Cut Spot The Salon in Mira Road, Mumbai",3.6,11,"Shop No-6, Arena-2, Poonam Garden, Mira Road, Thane - 401107, Near S K Stone",Not Verified
"Railins Beauty Parlour in Mira Road, Mumbai",3.6,11,"Shop No 5 Saubhagya Paek, Mira Road, Thane - 401107, Opp Jingle Fun School",Not Verified
"Dreams  Styling  Unisex Salon in Mira Road, Mumbai",3.4,11,"Shop No 10, Ambrosia ,Jangid Enclave, Road,Near Commissioner Bunglow,, Mira Road, Thane - 401107, Near Laxmi Park,Off Kanakia Road",Not Verified
"Heaven Salon & Spa in Mira Road, Mumbai",5.0,10,"Shop No 4, Shri Subh Chintak Society, Laxmi Park Road, Mira Road, Thane - 401107, Near Galaxy Hospital",Not Verified
"Joyce Beauty Sallon in Mira Road, Mumbai",4.6,10,"Karishma  Arcade, Before Orange Hospital, Mira Road, Thane - 401107, Opposite Garden City Building",Not Verified
"Kaifee Stylist Unisex Saloon in Mira Road, Mumbai",3.5,10,"Shop No 7, Asmita Garden 1, Poonam Sagar Complex, Mira Road, Thane - 401107, Next To Casedela",Not Verified
"Royal Touch Beauty Salon Academy in Mira Road, Mumbai",4.8,9,"Cheddha Enclave Anand Building, Flat No 604, 100 Feet Road, Mira Road, Thane - 401107, Near Naya Nagar,Near Old Rto Camp",Not Verified
"Twisted Scissors Salon And Academy in Mira Road, Mumbai",4.4,9,"Shop No 3, Happy Home Complex, Mira Road, Thane - 401107, Near Shanti Park, Opposite St Thomas High School, Near Bank Of India",Not Verified
"My Style Mens Salon in Mira Road, Mumbai",4.1,9,"Shop No -7, Gaurav Excellency, Gaurav Valley, Mira Road, Thane - 401107, Gaurav Valley",Not Verified
"Rejuvenate Beauty Lounge in Mira Road, Mumbai",4.1,9,"Shop No 8 & 9, Mira Darshan, MTNL Road, Mira Road, Thane - 401107, Near Silver Park",Not Verified
"Angels Beauty Salon in Mira Road, Mumbai",4.0,9,"Shop No-7, Bldg No-B/9, Sectpr-10, Shanti Nagar, Mira Road, Thane - 401107, Nr. Swami Narayan Temple",Not Verified
"Raks Academy Salon in Beverly Park-Mira Road, Mumbai",2.9,9,"Shop No 4, DEV Paradise Building, Kanakia, Beverly Park-Mira Road, Thane - 401107, Near Police Station, Kanakia",Not Verified
"Bond Salon & Academy in Mira Road, Mumbai",4.1,8,"Lavista Apprt Shop-16/17, Ponam Sagar Complex, Mira Road, Thane - 401107, Opp Avkar Restorant Near Alhabad Bank",Not Verified
"Mama Hair Dresser in Mira Road, Mumbai",3.6,8,"Shop No -4, Shanti Park, Mira Road, Thane - 401107",Not Verified
"Kaifee Stylist in Mira Road, Mumbai",3.3,8,"Shop No.3/7/8 B Wing,Sheetal Swar Building, MTNL Road, Mira Road, Thane - 401107, Sheetal Nagar",Not Verified
"Jyoti Purusha in Mira Road, Mumbai",4.9,7,"601, D WING,SILVER CASSIA APARTMENT, PLEASANT PARK, Mira Road, Thane - 401107, OPP WELCOME HOTEL",Not Verified
"Fashion Hair & Beauty Salon in Mira Road, Mumbai",4.8,7,"Shop No 003, Aakashganga Mahavir,, MTNL Road, Mira Road, Thane - 401107, Opposite Jangid Circle",Not Verified
