Name,Rating,Rating Count,Address,Verified
"Sunny Body Massage in Chembur, Mumbai",3.0,6,"38-464 R C Barack Chembur Colony, Chembur, Mumbai - 400071",Not Verified
"Sangita in Powai, Mumbai",4.8,5,"Room No 1 Tara Bai Nagar Bhavar Niwas, Tunga Gaon S V Road Powai, Powai, Mumbai - 400076",Not Verified
"Feel Fresh Spa in Chandivali-Andheri East, Mumbai",4.0,4,"Chandivali, Farm Road, Chandivali-Andheri East, Mumbai - 400072, Powai",Not Verified
"Urban Oasis in Andheri East, Mumbai",3.8,4,"C/O Hotel Royal Park, Andheri Kurla Road, Andheri East, Mumbai - 400072, Opp Johnson & Johnson",Not Verified
"Ss Dance And Zumba (Kohinoor City Mall) in Kurla West, Mumbai",5.0,2,"F-99 1st Floor Kohinoor City Mall, Kurla West, Mumbai - 400070",Not Verified
"Nilesh Massage Therapy in Chandivali-Andheri East, Mumbai",3.5,2,"Nahar-Hiranandani, Farm Road, Chandivali-Andheri East, Mumbai - 400072",Not Verified
"Krish Spa in Powai, Mumbai",4.5,1,"D 304, Eros Mall, Powai, Mumbai - 400076, Near IIT Powai",Not Verified
"Cute & Style Saloon & Spa in Charai-thane West, Mumbai",3.7,81,"Shop Number 102 SaiKrupa Apartment, LLG Road, Charai-thane West, Thane - 400601, Near Avadh Radio Tembhi Naka",Not Verified
"Mumbai Wellness International in Andheri East, Mumbai",4.8,15,"Plot No 11, JB Nagar, A, JB Nagar, Andheri East, Mumbai - 400059, Near Bagadiya College",Not Verified
"Touch N Glow in Mahakali-Andheri East, Mumbai",4.1,98,"Plot No 127 Ground Floor Sheer Punjab Society, Prem Lane, Mahakali-Andheri East, Mumbai - 400093, Near Tolani College",Not Verified
"Anand Ranjane in Thane West, Mumbai",4.0,25,"Room No 3, Dattachayya Rahiwasi Sangh, Raje Shivaji Mahavidyalaya Road, Thane West, Thane - 400606, Near Lokmanya Nagar Pada No 4",Not Verified
"Belita Retail Pvt Ltd (head Office) in Andheri East, Mumbai",3.5,241,"G1/ G2, Sheraton Classic, Charat Singh Colony, Andheri East, Mumbai - 400093, Opposite Andheri Kurla Road, Chakala",Verified
"Muscle Factory in Thane West, Mumbai",4.7,90,"26A, 1& 2, Bhrindavan Society, Thane West, Thane - 400601, Near to Bhrindavan Bus Stop",Not Verified
"Hair 2 Feet Unisex Salon in Andheri East, Mumbai",5.0,29,"Shop No. 1 Pandey Niwas, Marol Military Road, Andheri East, Mumbai - 400059, Near Blossom Society, Opp. Drivezy Show Room",Not Verified
"Reem Spa Service At Home in Goregaon East, Mumbai",3.3,25,"Royal Palms, Goregaon East, Mumbai - 400065",Not Verified
"Rose Spa Home Service in Naupada-thane West, Mumbai",4.0,13,"Naupada-thane West, Thane - 400602, Near Three Petrol Pump",Not Verified
"Bluenile Salon And Spa in Khopat-Thane West, Mumbai",4.6,9,"Kalika Building, Shop No 7, Khopat-Thane West, Thane - 400601, Near Pratap Cinema",Not Verified
"Muskan Body Spa And Massage Centre in Andheri East, Mumbai",3.7,5,"Sahar Airport Road,Ashok Nagar, Andheri East, Mumbai - 400099, Near Hilton Mumbai International",Not Verified
"Sandy Massage Services in Diva, Mumbai",3.9,4,"103, Om Apartment, Saba Road, Diva, Thane - 400612",Not Verified
"Spa And in Thane West, Mumbai",4.8,2,"Piraya, Soniya, Thane West, Thane - 400601, Thane",Not Verified
"Lavanya Beauty Parlour in Panvel, Mumbai",5.0,1,"B 104, Orchid Building, SAI Nagar, Panvel, Navi Mumbai - 410206, Opposite Upvan Channel",Not Verified
"Vikas Ambavade in Thane West, Mumbai",5.0,1,"Room No 2, Supriya Niwas, Gokul Nagar, Old Agra Road, Thane West, Thane - 400601, Behind Jari Mari Mandir and Azad Nagar",Not Verified
"Manisha ladies beauty parlour in Thane West, Mumbai",4.0,1,"Shop no 1 A wing Gagangiri park society Vartak ngr, Thane West, Thane - 400601, Opp vaity wadi near Cadbury signal",Not Verified
